Liga,Temporada,Fecha y Hora,Estado,Equipo Local,Goles Local,Equipo Visitante,Goles Visitante,Tiros al Arco Local,Tiros al Arco Visitante,Tiros Totales Local,Tiros Totales Visitante,Posesión Local (%),Posesión Visitante (%),Tiros de Esquina Local,Tiros de Esquina Visitante,Faltas Local,Faltas Visitante,Pases Completos Local,Pases Completos Visitante
Premier League,2020,2021-04-16T19:00:00+00:00,Match Finished,Everton,2,Tottenham,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-17T11:30:00+00:00,Match Finished,Newcastle,3,West Ham,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-17T19:15:00+00:00,Match Finished,Wolves,1,Sheffield Utd,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-18T12:30:00+00:00,Match Finished,Arsenal,1,Fulham,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-18T15:00:00+00:00,Match Finished,Manchester United,3,Burnley,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-19T19:00:00+00:00,Match Finished,Leeds,1,Liverpool,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-20T19:15:00+00:00,Match Finished,Chelsea,0,Brighton,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-21T17:00:00+00:00,Match Finished,Tottenham,2,Southampton,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-21T19:15:00+00:00,Match Finished,Aston Villa,1,Manchester City,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-22T19:00:00+00:00,Match Finished,Leicester,3,West Brom,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-23T19:00:00+00:00,Match Finished,Arsenal,0,Everton,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-24T11:30:00+00:00,Match Finished,Liverpool,1,Newcastle,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-24T16:30:00+00:00,Match Finished,West Ham,0,Chelsea,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-24T19:00:00+00:00,Match Finished,Sheffield Utd,1,Brighton,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-25T11:00:00+00:00,Match Finished,Wolves,0,Burnley,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premier League,2020,2021-04-25T13:00:00+00:00,Match Finished,Leeds,0,Manchester United,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
